TITLE ORIGINAL,AUTHORS,PUBLICATION YEAR
"Trading up the Happiness Ladder.","Dluhosch, B.; Horgos, D","2012"
"Normative Foundation for Well-Being Policy.","Haybron, D.M.; Tiberius, V.","2012"
"Positively Negative.","Jaffe, E.","2012"
"Measuring Subjective Well-Being: The U.K. Office for National Statistics Experience. Part II.","Hicks, S.","2012"
"First ONS Annual Experimental Subjective Well-Being Results.","Office for National Statistics,","2012"
"Kwaliteit van Leven: Leefsituatie en Geluk.","Boelhouwer, J.","2014"
"International Variation in Child Subjective Well-Being.","Klocke, A.; Bradshaw, J.; Clair, A.","2014"
"China's Life Satisfaction, 1990 - 2010.","Easterlin, R.A.; Morgan, R.; Switek, M.; Wang, F.","2012"
"Happiness in Brazil.","Islam, G.","2012"
"The Asia-Pacific Values Survey. Cultural Manifold Analysis (CULMAN) on Peoples' Sense of Trust. Hong Kong 2011 Survey.","Yoshino, R.; Nikaido, K.","2012"
"Happiness in Mexico: The Importance of Human Relations.","Rojas, M.","2012"
"Happy Villages and Unhappy Slums? Understanding Happiness Determinants in Peru.","Guillen-Royo, M.; Velazco, J.","2012"
"Life Satisfaction in Malawi.","Hinks, T.; Simon, D.","2012"
"Happiness Scale Interval Study.","Kalmijn, W.M.; Arends, L.R.; Veenhoven, R.","2011"
"Happiness in the Amazon: Folk Explanations of Happiness in a Hunter-Horticulturalist Society in the Bolivian Amazon.","Reyes-Garcia, V.; Tsimane Amazonian Panel Study (TAPS),","2012"
"Met Partner vaker Gelukkiger.","DeWinden, P.; VanBeuningen, J.","2012"
"Happiness Economics from 35000 Feet.","MacKerron, G","2012"
"Stay-at-Home Moms Report more Depression, Sadness, and Anger.","Mendes, E.; McGeeney, K.; Saad, L.","2012"
"Republicans' Life Ratings Plunge, Democrats' Improve.","Mendes, E.","2012"
"The Happiness of People with a Mental Disorder in Modern Society.","Bergsma, A.; Veenhoven, R.","2011"
"An Empirical Investigation into the Determinants of Life Satisfaction in New Zealand.","Brown, D.; Smith, C.; Woolf, J.","2012"
"Happiness in Nigeria: A Socio-Cultural Analysis.","Agbo, A. A.; Ajearo, C. K.; Nzeadibe, T.C.","2012"
"Ghanaian Happiness: Global, Cultural, and Phenomenological Perspectives.","Dzokoto, V. A.","2012"
"Happiness in a Post-Conflict Society: Rwanda.","Abbott, P.; Wallace, C.","2012"
"Does Money Buy Happiness? Evidence from Twins in Urban China.","Li, H.; Liu, P.W.; Ye, M.; Zhang, J.","2014"
"Climate, Cash, and Culturally Embedded Happiness.","VandeVliert, E.","2012"
"The Science of Happiness: A Cross-Cultural Perspective.","Morris, S. M.","2012"
"Lebenszufriedenheit steigt mit der Höhe der Konsumausgaben.","Noll, H.H.; Weick, S.","2014"
"Mental Health and Illness in Relation to Physical Health across the Lifespan.","Lamers, S.M.; Bohlmeijer, E.T.; Keyes, C.L.; Westerhof, G.J.","2013"
"Differential Relationships in the Association of the Big Five  Personality Traits with Positive Mental Health and Psychopathology.","Lamers, S.M.; Bohlmeijer, E.T.; Kovacs, V.; Westerhof, G.J.","2012"
"The Impact of Emotional Well-Being on Long-Term Recovery Survival in Physical Illness: A Meta-Analysis.","Lamers, S.M.; Bohlmeijer, E.T.; Bolier, L.; Smit, F.; Westerhof, G.J.","2012"
"The Influence of Environment and Personality on the Affective and Cognitive Component of Subjective Well-being.","Schimmack, U.; Schupp, J.; Wagner, G.G.","2008"
"Comparing Quality of Life Instruments in a Population of Abused Women","Alsaker, K.; Kristoffersen, K.; Moen, B.E.","2007"
"Why Gratitude Enhances Well-Being: What We Know, What We Need to Know.","Emmons, R.A.; Mishra, A.","2011"
"Emotional Experience Improves With Age: Evidence Based on Over 10 Years of Experience Sampling","Carstensen, L.L.; Ram, N.; Scheibe, S.; Turan, B.","2011"
"Place and Well-Being.","Florida, R.; Rentfrow, P.J.","2011"
"The Broaden--And - Build of Positive Emotions: Form, Function, and Mechanisms.","Conway, A. N.; Catalino, L. I.; Fredrickson, B.L.; Tugade, M.M.","2013"
"The Endowment - Contrast Model: A Lens for Happiness Research.","Griffin, D.; Gonzalez, R.","2013"
"Religious Engagement And Well - Being.","Myers, D.G.","2013"
"Couples Dealing with Cancer: Role and Gender Differences Regarding Psychological Distress and Quality of Life.","Hagedoorn, M.; Buunk, B.P.; Kuijer, R.G.","2000"
"Long-Term Impact of Preventive Proactivity on Quality of Life of the Old-Old.","Kahana, E.; Kahana, B.; Lawrence, R.H.","2002"
"The Rewards of Happiness.","Jacobs Bao, K.; Lyubomirsky, S.","2013"
"Culture-Specific Patterns in the Prediction of Life Satisfaction: Roles of Emotion, Relationship Quality, and Self-Esteem.","Kang, S. M.; Shaver, P.; Sue, S.","2003"
"Income and Happiness: Earning and Spending as Sources of Discontent.","Kaun, D.E.","2005"
"The Relationship Between Involvement in Activities and Quality of Life for People with Severe and Enduring Mental Illness.","Kelly, S.; Mckenna, H.; Parahoo, K.","2001"
"Happiness Experienced: The Science of Subjective Well - Being.","Pavot, W.; Diener, E.","2013"
"Does Development Make You Happy? Subjective Wellbeing and Economic Growth in Developing Countries.","Kenny, C.","2005"
"Reich und zufrieden? Rich and Happy?","Keuschnigg, M.; Negele, E.; Wolbring, T.","2012"
"Subjective Change and Its Consequences for Emotional Well-Being.","Keyes, C.L.","2000"
"Religious Influences on Personal and Societal Well-being.","Kim, A.E.","2003"
"Working in Retirement: The Antecedents of Bridge Employment and its Consequences for Quality of Life in Retirement.","Kim, S.; Feldman, D.C.","2000"
"Unexpected Victims: How Parents’ Unemployment Affects Their Children’s Life Satisfaction.","Kind, M.; DeNew, J.P.","2012"
"Benefits from Productive and Consumptive Activities: Results from the Berlin Aging Study.","Klumb, P.L.","2004"
"A Note on the Impact of Economic Regulation on Life Satisfaction.","Knoll, B.; Pitlik, H.; Rode, M.","2012"
"More Bitter than Sweet - Are Nostalgic People rather Sad than Happy after all?","Köneke, V.","2013"
"Religious Meaning and Subjective Well-Being in Late Life.","Krause, N.","2003"
"Hysterectomy Status and Life Satisfaction in Older Women.","Kritz-Silverstein, D.; Barrett-connor, E.; Wingard, D.L.","2002"
"Emotional Wellbeing and Violence among Social and Solitary Risky Single Occasion Drinkers in Adolescence.","Kuntsche, E.N.; Gmel, G.","2004"
"An Overview of Research on Increasing Indices of Happiness of People with Severe/Profound Intellectual and Multiple Disabilities.","Lancioni, G.E.; O'Reilly, M.F.; Singh, N.N.","2005"
"Stress and ''Storm and Stress"" in Early Adolescence: The Relationship of Negative Events With Dysphoric Affect.","Larson, R.; Ham, M.","1993"
"Determinants of Rural Physicians' Life and Job Satisfaction .","Lavanchy, M.; Connelly, I.; Grzybowski, S.","2004"
"Predictors of Regional Well-Being: A County Level Analysis.","Lawless, N.M.; Lucas, R.E.","2011"
"Motivation in Later Life: Personal Projects and Well-Being.","Lawton, M.P.; Moss, M.S.; Winter, L.","2002"
"Is the Asthma Quality of Life Questionnaire a Useful Measure for Low-income Asthmatics?","Leidy, N.K.; Chan, K.; Coughlin, C.","1998"
"Poverty and Subjective Well-being in Mexico.","Palomar Lever, J.","2004"
"Towards a Clarification of the Association Between Religiosity and Life Satisfaction.","Lewis, C.A.","1998"
"Premature Menopause and Psychological Well- Being.","Liao, K.L.; Conway, G.S.; Wood, N.","2000"
"Positive Automatic Cognitions Mediate the Relationship Between Personality and Trait Positive Affect.","Lightsey, O.R.; Gharghani, G.G.; Katz, A.M.","2013"
"Subjective Well-Being and Adaptation to Life Events: A Meta-Analysis.","Luhmann, M.; Eid, M.; Lucas, R.E.","2012"
"The Relationship Between Life Satisfaction, Risk-taking Behaviors, and Youth Violence.","MacDonald, J.M.; Piquero, A.R.; Valois, R.F.","2005"
"Well-being and the Anticipation of Future Positive Experiences: The role of Income, Social Networks, and Planning Ability.","MacLeod, A.K.; Conway, C.","2005"
"A Note on Inequality Aversion Across Countries, Using Two New Measures.","Macunovich, D.J.","2011"
"Life Satisfaction in Croatia.","Perovic, L.M.","2010"
"Do I stay because I am happy or am I happy because I stay? Life satisfaction in migration, and the decision to stay permanently, return and out-migrate.","Mara, I.; Landesmann, M.","2013"
"Distinguishing Optimism From Pessimism: Relations to Fundamental Dimensions of Mood and Personality.","Marshall, G.N.; Kusulas, J.; Wortman, C.B.","1992"
"Defining and using Quality of Life: a Survey of Health Care Professionals.","McKevitt, C.; La-Placa, V.; Redfern, J.","2003"
"What Does the Ideal of Happiness Mean?","McMahon, D.M.","2010"
"The Relationship of Social Support to Perceived Control and Subjective Mental Health in Adolescents.","Meehan, M.P.; Bryant, F.B.; Durlak, J.A.","1993"
"Remaining Active in Later Life : The Role of Locus of Control in Seniors' Leisure Activity Participation, Health, and Life Satisfaction.","Menec, V.H.; Chipperfield, J.G.","1997"
"From Function to Felicitude: Physical Disability and the Search for Happiness in Health Services Research.","Meyers, A.R.","2000"
"Predictors of Differences in Subjective Well-Being Across 97 Nations.","Minkov, M.","2009"
"Examen + Kind = Zufrieden? Lebenszufriedenheit von Akademikerinnen und Akademikern. Exam + Child = Happiness? Life Satisfaction of Female and Male Academics.","Morillo, F.G.","2005"
"Cohabitation, Marriage, and Trajectories in Well-Being and Relationships.","Musick, K.; Bumpass, L.","2006"
"Associations between Psychosocial Factors and Happiness among School Adolescents.","Natvig, G.K.; Albrektsen, G.; Qvarnstrom, U.","2003"
"The Relationship Between Work and Nonwork Domains: A Review of Empirical Research.","Near, J.P.; Hunt, R.G.; Rice, R.W.","1980"
"Personality Predictors Of Happiness.","Neto, F.","2001"
"Happiness Is Absolute, Universal, Ultimate, Unidimensional, Cardinally Measurable and Interpersonally Comparable:  Basis for the Environmentally Responsible Happy Nation Index.","Ng, Y.K.","2011"
"How Much do External Factors Affect Wellbeing?  A Way to Use ‘Happiness Economics’ to Decide.","Oswald, A.J.","2003"
"The Value to the Environmental Movement of the New Literature on the Economics of Happiness.","Oswald, A.J.","2012"
"Housing and Life Satisfaction of Older Adults in Two Rural Regions in Germany.","Oswald, A.J.; Mollenkopf, H.; Wahl, H.W.","2003"
"Democracy, Participation, and Life Satisfaction.","Owen, A.L.; Videras, J.; Willemsen, C.","2008"
"Social Skills, Life Satisfaction, and Loneliness in Turkish University Students.","Ozben, S.","2013"
"The Determinants of the Perception of Happiness about Quality of Life amongst Turkish People.","Özcan, K.M.; Böke, S.; Kara, M.","2008"
"Personality and the Prediction of Consequential Outcomes.","Ozer, D.J.; Benet-Martínez, V.","2006"
"Longitudinal Analysis of the Domains of Satisfaction before and after Disability: Evidence from the German Socio-Economic Panel.","Pagan-Rodriguez, R.","2012"
"Aging, Terminal Decline, and Terminal Drop.","Palmore, E.B.; Cleveland, W.P.","1976"
"Mood and Heuristics: The Influence of Happy and Sad States on Sensitivity and Bias in Stereotyping.","Park, J.; Banaji, M.R.","2000"
"Gender Differences in Disability, Assistance, and Subjective Well-being in Later Life.","Penning, M.J.; Strain, L.A.","1994"
"Cataract Surgery and Changes in Quality of Life Measures.","Pesudovs, K.;  Weisinger, H.S.; Coster, D.J.","2003"
"Perceived Happiness of College Students Measured by Maslow's Hierarchy of Needs.","Pettijohn, T.F.; Pettijohn II, T.F.","1996"
"Whose Decision Was It? The Effects of Initiator Status on Adjustment to Marital Disruption.","Pettit, E.J.; Bloom, B.L.","1984"
"Passion Does Make a Difference in People’s Lives: A Look at Well-Being in Passionate and Non-Passionate Individuals.","Philippe, F.L.; Lavigne, G.L.; Vallerand, R.J.","2009"
"Physical Activity, Psychosocial Health, and Life Goals among Youth.","Piko, B.F.; Keresztes, N.","2006"
"""All’s Well That Ends Well!"" Subjective Wellbeing: An Epistemic Enquiry.","Vijayamohanan, P.N; Asalatha, B.P.","2013"
"Objectivizing the Subjective: Measuring Subjective Wellbeing.","Vijayamohanan, P.N; Asalatha, B.P.","2013"
"Dynamic Analysis and the Economics of Happiness: Rationale, Results and Rules.","Piper, A.T.","2012"
"A Happiness Test of Human Capital Theory.","Piper, A.T.","2013"
"Heaven knows I'm Miserable Now: Overeducation and Reduced Life Satisfaction.","Piper, A.T.","2013"
"Does Attractiveness Buy Happiness?  ""It depends on Where you’re From""","Plaut, V.C.; Anderson, S.L.","2009"
"Soziale Integration und Lebenszufriedenheit kinderloser Frauen und Männer im mittleren und höheren Erwachsenenalter. Social Integration and Life Satisfaction, Childless Women and Men in Middle and Higher Adulthood.","Pollmann-Schult, M.","2011"
"Perceived Freedom in Leisure and Physical Co-Ordination Ability: Impact on Out-of-School Activity Participation and Life Satisfaction.","Poulsen, A. A.; Cuskelly, M.; Ziviani, J.M.","2007"
"What Happens to People Before and After Disability? Focusing Effects, Lead Effects, and Adaptation in Different Areas of Life.","Powdthavee, N","2009"
"I Can’t Smile Without You: Spousal Correlation in Life Satisfaction.","Powdthavee, N","2009"
"Jobless, Friendless, and Broke: What Happens to Different Areas of Life Before and After Unemployment?","Powdthavee, N","2011"
"Subjective Quality of Life in the Evaluation of Programs for People with Serious and Persistent Mental Illness.","Prince, P.N.; Prince, C.R.","2001"
"Living in a Material World: Happy Income and Happy Life Years.","Prinz, A.; Bünger, B.","2009"
"Life Satisfaction, Household Income and Personality Theory.","Proto, E.; Rustichini, A.","2012"
"Marriage, Adaptation and Happiness: Are there Long-Lasting Gains to Marriage?","Qari, S.","2010"
"Cultural Differences in the Relation between Self-discrepancy and Life Satisfaction.","Radhakrishnan, P.; Chan, D.K","1997"
"Framing the Construct of Life Satisfaction in Terms of Older Adults' Personal Goals.","Rapkin, B.D.; Fischer, K.","1992"
"Clarifying the Measurement of Activity.","Ritchey, L.H.; Dietz, B.E.; Ritchey, P.N.","2001"
"Long-Term Effects of Homeownership on the Self-Perceptions and Social Interaction of Low-Income Persons.","Rohe, W.M.; Basolo, V.","1997"
"The Negative Side of Social Interaction: Impact on Psychological Well-Being.","Rook, K.S.","1984"
"Differences in the Perceived Well-Being of Wives and Husbands Caring for Persons with Alzheimer's Disease.","Rose-Rego, S.K.; Smyth, K.A.; Strauss, M.E.","1998"
"Latent Growth Models of the Longitudinal Effects of Dementia Caregiving: A comparison of African American and White Family Caregivers.","Roth, D.L.; Haley, W.E.; Owen, J.E.","2001"
"Humor as a Character Strength Among the Elderly.","Ruch, W.; Proyer, R.T.; Weber, M.","2010"
"The Gender-Specific Effect of Working Hours on Family Happiness in South Korea.","Rudolf, R.; Cho, S.Y.","2011"
"Predictors of Happiness in Married Couples.","Russell, R.J.; Wells, P.A.","1994"
"Violence in the Lives of Women Having Abortions: Implication for Practice and Public Policy.","Russo, N.F; Denious, J.E.","2001"
"Moods as Sources of Stimulation: Relationships between Personality and Desired Mood States.","Rusting, C.L.; Larsen, R.J.","1995"
